"clustering_ids","market_ids","car_ids","firm_ids","make","model","shares","quantity","trend","prices","mpg","hp","wt","len","wid","ht","wb","Doors","Seats","hpwt","space","ULSP","ULSD","CPI","mpd","region","Segment","Segment_Desc","low_share","Viz1","Viz2","Viz3","Viz4","Viz5","count"
"16_11",2010,"16_11_2010","GM","Chevrolet","Lacetti",4.29042092840283e-05,349,2,14.2505592841163,3.65,105.166666666667,266.575301666667,4390,1768.33333333333,1448.33333333333,2600,5,5,0.394510166580136,1.20326612272267,1.30764713474445,1.3337183789365,0.894,0.607945888142458,"United States",3,"C-segment (compact)",0,-1.4954921,-1.8724626,-0.12352608,1.4761322,-1.3419205,4
"16_11",2011,"16_11_2011","GM","Chevrolet","Lacetti",1.6978571576894e-05,139,3,13.6402569593148,3.65,105.166666666667,266.575301666667,4390,1768.33333333333,1448.33333333333,2600,5,5,0.394510166580136,1.20326612272267,1.42840759347719,1.48613902157799,0.934,0.550962985058732,"United States",3,"C-segment (compact)",0,-1.4954921,-1.8724626,-0.12352608,1.4761322,-1.3419205,4
"16_11",2009,"16_11_2009","GM","Chevrolet","Lacetti",0.000127833202444686,1032,1,14.6890465193006,3.67142857142857,107.142857142857,266.444074285714,4379.28571428571,1799.28571428571,1447.85714285714,2600,5,5,0.402121373613156,1.22133962651826,1.15004441286196,1.20266033043169,0.866,0.686543752616463,"United States",3,"C-segment (compact)",0,-1.4954921,-1.8724626,-0.12352608,1.4761322,-1.3419205,4
"16_11",2008,"16_11_2008","GM","Chevrolet","Lacetti",0.00014087579865981,1130,0,15.0185528756957,3.67142857142857,107.142857142857,266.444074285714,4379.28571428571,1799.28571428571,1447.85714285714,2600,5,5,0.402121373613156,1.22133962651826,1.26329579511398,1.38792344019617,0.847,0.609242239097751,"United States",3,"C-segment (compact)",0,-1.4954921,-1.8724626,-0.12352608,1.4761322,-1.3419205,4
"16_12",2010,"16_12_2010","GM","Chevrolet","Matiz",0.000144571203776554,1176,2,6.93885160328113,4.2,62,175.487752,3495,1495,1485,2340,5,5,0.35330100986193,0.80988136943216,1.30764713474445,1.3337183789365,0.894,0.699554172657075,"United States",1,"A-Segment (Minicars)",0,-0.43686143,-0.06348228,0.055425785,0.0970169,0.06968617,3
"16_12",2008,"16_12_2008","GM","Chevrolet","Matiz",0.000452547919588593,3630,0,7.32388823297914,4.2,62,175.487752,3495,1495,1485,2340,5,5,0.35330100986193,0.80988136943216,1.26329579511398,1.38792344019617,0.847,0.696954156788867,"United States",1,"A-Segment (Minicars)",0,-0.43686143,-0.06348228,0.055425785,0.0970169,0.06968617,3
"16_12",2009,"16_12_2009","GM","Chevrolet","Matiz",0.000622815253771203,5028,1,7.16320246343341,4.2,62,175.487752,3495,1495,1485,2340,5,5,0.35330100986193,0.80988136943216,1.15004441286196,1.20266033043169,0.866,0.785384681981479,"United States",1,"A-Segment (Minicars)",0,-0.43686143,-0.06348228,0.055425785,0.0970169,0.06968617,3
"16_13",2011,"16_13_2011","GM","Chevrolet","Orlando",0.000191283763233209,1566,3,22.0031146583609,4.3,146.545454545455,355.14424,4652,1836,1633,2760,5,7,0.412636439057704,1.32387023751631,1.42840759347719,1.48613902157799,0.934,0.649079681028095,"United States",8,"M-segment (MPV)",0,-1.3015977,-0.895815,-1.4572104,-0.073025964,0.16394787,4
"16_13",2013,"16_13_2013","GM","Chevrolet","Orlando",0.000111668580236234,923,5,21.6133671742809,4.45,146.583333333333,352.096185833333,4652,1836,1633,2760,5,7,0.416316163682385,1.32387023751631,1.36365482233503,1.42727645450996,0.985,0.701473764128287,"United States",8,"M-segment (MPV)",0,-1.3015977,-0.895815,-1.4572104,-0.073025964,0.16394787,4
"16_13",2014,"16_13_2014","GM","Chevrolet","Orlando",2.53392442148092e-05,210,6,21.2891666666667,4.45,146.583333333333,352.096185833333,4652,1836,1633,2760,5,7,0.416316163682385,1.32387023751631,1.27417884615385,1.33474230769231,1,0.750411742150819,"United States",8,"M-segment (MPV)",0,-1.3015977,-0.895815,-1.4572104,-0.073025964,0.16394787,4
"16_13",2012,"16_13_2012","GM","Chevrolet","Orlando",0.00026877681103221,2218,4,21.8388583320945,4.51428571428571,147.142857142857,357.227176428571,4652,1836,1633,2760,5,7,0.411902752231615,1.32387023751631,1.41259105098855,1.47933363438242,0.961,0.686756262583758,"United States",8,"M-segment (MPV)",0,-1.3015977,-0.895815,-1.4572104,-0.073025964,0.16394787,4
"16_14",2014,"16_14_2014","GM","Chevrolet","Spark",0.00010618349956682,880,6,9.835,5.6,73,190.479168,3595,1597,1529.25,2375,5,5,0.383244009129649,0.889891065861782,1.27417884615385,1.33474230769231,1,0.944338372144851,"United States",1,"A-Segment (Minicars)",0,-1.373362,0.86086315,-0.31344724,0.36053506,0.72206765,6
