"market_ids","weights","nodes0","nodes1","nodes2","nodes3","nodes4","nodes5","nodes6","income"
2008,0.0112574113277141,-2.85697001387281,0,0,0,0,0,0,28.1838293126445
2008,0.0229379273840209,-2.33441421833898,-1,0,0,0,0,0,28.1838293126445
2008,0.0229379273840209,-2.33441421833898,0,-1,0,0,0,0,28.1838293126445
2008,0.0229379273840209,-2.33441421833898,0,0,-1,0,0,0,28.1838293126445
2008,0.0229379273840209,-2.33441421833898,0,0,0,-1,0,0,28.1838293126445
2008,0.0229379273840209,-2.33441421833898,0,0,0,0,-1,0,28.1838293126445
2008,0.0229379273840209,-2.33441421833898,0,0,0,0,0,-1,28.1838293126445
2008,0.0229379273840209,-2.33441421833898,0,0,0,0,0,0,16.2181009735893
2008,-0.321130983376292,-2.33441421833898,0,0,0,0,0,0,28.1838293126445
2008,0.0229379273840209,-2.33441421833898,0,0,0,0,0,0,48.9778819368446
2008,0.0229379273840209,-2.33441421833898,0,0,0,0,0,1,28.1838293126445
2008,0.0229379273840209,-2.33441421833898,0,0,0,0,1,0,28.1838293126445
2008,0.0229379273840209,-2.33441421833898,0,0,0,1,0,0,28.1838293126445
2008,0.0229379273840209,-2.33441421833898,0,0,1,0,0,0,28.1838293126445
2008,0.0229379273840209,-2.33441421833898,0,1,0,0,0,0,28.1838293126445
2008,0.0229379273840209,-2.33441421833898,1,0,0,0,0,0,28.1838293126445
2008,0.0277777777777616,-1.73205080756888,-1.73205080756888,0,0,0,0,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,-1,-1,0,0,0,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,-1,0,-1,0,0,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,-1,0,0,-1,0,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,-1,0,0,0,-1,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,-1,0,0,0,0,-1,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,-1,0,0,0,0,0,16.2181009735893
2008,-0.583333333332994,-1.73205080756888,-1,0,0,0,0,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,-1,0,0,0,0,0,48.9778819368446
2008,0.0416666666666424,-1.73205080756888,-1,0,0,0,0,1,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,-1,0,0,0,1,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,-1,0,0,1,0,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,-1,0,1,0,0,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,-1,1,0,0,0,0,28.1838293126445
2008,0.0277777777777616,-1.73205080756888,0,-1.73205080756888,0,0,0,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,-1,-1,0,0,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,-1,0,-1,0,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,-1,0,0,-1,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,-1,0,0,0,-1,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,-1,0,0,0,0,16.2181009735893
2008,-0.583333333332994,-1.73205080756888,0,-1,0,0,0,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,-1,0,0,0,0,48.9778819368446
2008,0.0416666666666424,-1.73205080756888,0,-1,0,0,0,1,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,-1,0,0,1,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,-1,0,1,0,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,-1,1,0,0,0,28.1838293126445
2008,0.0277777777777616,-1.73205080756888,0,0,-1.73205080756888,0,0,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,0,-1,-1,0,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,0,-1,0,-1,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,0,-1,0,0,-1,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,0,-1,0,0,0,16.2181009735893
2008,-0.583333333332994,-1.73205080756888,0,0,-1,0,0,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,0,-1,0,0,0,48.9778819368446
2008,0.0416666666666424,-1.73205080756888,0,0,-1,0,0,1,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,0,-1,0,1,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,0,-1,1,0,0,28.1838293126445
2008,0.0277777777777616,-1.73205080756888,0,0,0,-1.73205080756888,0,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,0,0,-1,-1,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,0,0,-1,0,-1,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,0,0,-1,0,0,16.2181009735893
2008,-0.583333333332994,-1.73205080756888,0,0,0,-1,0,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,0,0,-1,0,0,48.9778819368446
2008,0.0416666666666424,-1.73205080756888,0,0,0,-1,0,1,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,0,0,-1,1,0,28.1838293126445
2008,0.0277777777777616,-1.73205080756888,0,0,0,0,-1.73205080756888,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,0,0,0,-1,-1,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,0,0,0,-1,0,16.2181009735893
2008,-0.583333333332994,-1.73205080756888,0,0,0,0,-1,0,28.1838293126445
2008,0.0416666666666424,-1.73205080756888,0,0,0,0,-1,0,48.9778819368446
2008,0.0416666666666424,-1.73205080756888,0,0,0,0,-1,1,28.1838293126445
