"file_name","V1","V6","V7","V8","V9","V11","V14","V16","V17","V19"
"Alfa Romeo$$Giulietta$$2011$$Silver$$4_11$$124$$image_1.jpg",1.1983198,2.1993709,1.43072,0.50055814,0.037253898,-0.7664638,-0.30671078,0.779547,0.44177738,-0.24660534
"Alfa Romeo$$Giulietta$$2013$$White$$4_11$$138$$image_1.jpg",1.3582591,1.7621355,0.91557807,1.1304175,0.0599072,-0.19883499,-1.4556454,0.29829663,0.2212241,0.2697997
"Alfa Romeo$$Giulietta$$2015$$Silver$$4_11$$64$$image_0.jpg",2.5940936,0.5869027,0.3096194,0.80117786,0.04186522,0.03401644,-0.48426175,0.08133222,-0.024316944,-0.6858646
"Alfa Romeo$$Giulietta$$2015$$White$$4_11$$304$$image_9.jpg",1.34528,0.56885976,1.1562966,0.1939587,0.07463952,-0.51644886,1.0808676,0.5274319,0.36591896,1.079813
"Alfa Romeo$$Giulietta$$2015$$White$$4_11$$34$$image_12.jpg",0.69175386,0.26595938,1.5148424,-0.19134583,0.04272363,-0.4715903,1.3441247,0.4249338,0.20169352,0.87257606
"Alfa Romeo$$Giulietta$$2015$$White$$4_11$$34$$image_22.jpg",0.85904276,0.43171227,1.1740819,0.012659442,0.042958636,-0.45404133,1.3843218,0.4059124,0.22034183,1.0666922
"Alfa Romeo$$Giulietta$$2016$$White$$4_11$$125$$image_6.jpg",1.4234974,2.6103108,0.5330731,0.73095244,0.05468041,-0.87000227,0.8645281,0.8596882,0.54673004,-0.60008264
"Alfa Romeo$$Giulietta$$2017$$White$$4_11$$303$$image_2.jpg",0.056338757,0.90811175,1.2494144,-0.42761868,0.09022142,-1.0208069,1.1481397,0.8825914,0.53618026,1.1979558
"Alfa Romeo$$MiTo$$2009$$Silver$$4_14$$265$$image_1.jpg",1.3241712,1.2615297,0.1845416,-0.03795192,0.08869357,-0.35087693,-1.6943737,0.35616797,0.16111544,1.1974097
"Alfa Romeo$$MiTo$$2012$$White$$4_14$$288$$image_7.jpg",-0.109212786,-0.5604762,1.9650921,0.98821706,-0.019240294,-0.09882347,0.37351292,0.09506674,0.06404248,1.6383781
"Alfa Romeo$$MiTo$$2015$$White$$4_14$$106$$image_1.jpg",-0.08540365,0.43806142,0.80383164,-0.63289565,-0.00025532674,-0.30636123,-0.24415833,0.35101286,0.3189958,1.8180352
"Alfa Romeo$$MiTo$$2017$$White$$4_14$$334$$image_12.jpg",-0.43841764,0.94568056,0.29590783,-1.4918718,0.079063214,-0.8988133,0.31349438,0.7569688,0.47900584,1.0900409
"Alfa Romeo$$MiTo$$2017$$White$$4_14$$71$$image_0.jpg",0.82617533,1.02099,0.27292383,-1.1300817,0.10225702,-0.6949453,-0.63761646,0.5847548,0.16145581,-0.2704249
"Audi$$A1$$2010$$White$$7_1$$130$$image_2.jpg",0.70058906,1.5206643,0.75112647,-1.4382867,0.12198536,-0.27342555,0.052852977,0.15317512,-0.058301635,0.7382643
"Audi$$A1$$2011$$White$$7_1$$332$$image_0.jpg",-0.104793996,1.6360708,0.07242949,0.639792,0.046461675,0.088745445,-0.04774602,-0.030475851,-0.18344602,0.8979808
"Audi$$A1$$2012$$White$$7_1$$649$$image_0.jpg",0.6964365,0.19173999,0.24176772,1.4463528,-0.012765008,0.15808433,1.9156955,-0.08550146,-0.2002322,1.8026658
"Audi$$A1$$2013$$Silver$$7_1$$10$$image_5.jpg",-0.011048973,-0.05658916,0.31790757,1.2427973,-0.0035320586,0.08410446,1.386102,-0.051677343,-0.2104902,1.6326232
"Audi$$A1$$2013$$Silver$$7_1$$156$$image_7.jpg",1.0230254,2.018427,-0.05001344,-0.026065577,0.12945727,-0.42764497,1.665748,0.4282834,0.07535827,0.5270176
"Audi$$A1$$2013$$White$$7_1$$248$$image_0.jpg",-0.36353576,1.6747822,0.36394918,0.4031279,0.04886936,-0.10372788,0.32418808,0.15201505,-0.043315925,0.58057356
"Audi$$A1$$2013$$White$$7_1$$508$$image_0.jpg",0.6722708,1.3610146,-0.29628584,-0.24858807,0.08672489,-0.16662653,0.2757368,0.17918426,-0.11275545,1.1769426
"Audi$$A1$$2014$$Multicolour$$7_1$$92$$image_5.jpg",0.96863997,2.367471,-0.34275493,-0.34139836,0.06705663,0.3572268,1.0546669,-0.2647328,-0.43648404,0.3896641
"Audi$$A1$$2014$$Silver$$7_1$$157$$image_15.jpg",1.8715804,1.683604,0.10376413,1.1959203,0.09434255,0.11942124,0.89269483,0.016163934,-0.15207514,-0.3603778
"Audi$$A1$$2014$$Silver$$7_1$$157$$image_5.jpg",1.8715804,1.683604,0.10376413,1.1959203,0.09434255,0.11942124,0.89269483,0.016163934,-0.15207514,-0.3603778
"Audi$$A1$$2015$$White$$7_1$$168$$image_0.jpg",0.1313945,2.4109614,0.15362589,0.6733552,0.046564598,0.21131048,-0.17235908,-0.08064461,-0.17903021,0.5665123
"Audi$$A1$$2015$$White$$7_1$$271$$image_5.jpg",1.4288555,2.570154,1.1033883,-0.7806615,0.10816288,0.025168862,1.1745921,0.016248439,-0.15485945,0.10161498
"Audi$$A1$$2015$$White$$7_1$$563$$image_5.jpg",1.6431496,2.5071003,-0.33859286,1.0735449,0.111909136,-0.22320373,1.1049291,0.2751886,0.03098074,-0.9691879
"Audi$$A1$$2016$$White$$7_1$$882$$image_2.jpg",1.4843811,2.9890308,1.2114669,-0.2396643,0.17310096,-0.011823092,2.068624,0.14994234,-0.107498586,-0.12861808
"Audi$$A1$$2017$$White$$7_1$$715$$image_5.jpg",1.175203,1.622039,-0.18790127,1.0983207,0.09612105,-0.42265257,1.3638977,0.37162155,0.16953483,0.7853599
"Audi$$A1$$2017$$White$$7_1$$870$$image_5.jpg",0.851256,2.8844888,0.6064969,-0.80743027,0.11274224,0.26532993,2.2944908,-0.13999864,-0.19695279,0.11994524
"Audi$$A1$$2017$$White$$7_1$$924$$image_0.jpg",0.77889407,2.575425,0.2852494,-1.3250797,0.056201603,0.14957982,1.8149269,-0.05318069,-0.08562073,0.97324693
"Audi$$A1$$2017$$White$$7_1$$974$$image_1.jpg",0.3734408,0.589102,0.8211791,-0.056219343,0.035949834,0.06014969,1.2624804,-0.013014939,-0.11022806,1.294372
"Audi$$A3 Cabriolet$$2011$$White$$7_4$$58$$image_1.jpg",0.9990543,1.4001693,0.16942677,4.344481,0.1571305,-0.03253365,1.2988981,0.10994315,-0.04035233,-0.63994974
"Audi$$A3 Cabriolet$$2011$$White$$7_4$$58$$image_2.jpg",1.3423461,2.0652578,-0.3270503,3.5039089,0.16920571,0.1351227,1.897448,-0.10831699,-0.16295329,-0.74463356
