"file_name","V1","V3","V7","V11","V14","V15","V17","V18","V19","V20"
"16_10_Chevrolet$$Aveo$$2009$$Silver$$16_2$$49$$image_2.jpg",0,-0.1613262,-0.90551424,0.24525602,0.5758136,1.0490409,-1.2534592,-0.29364026,-0.52750695,0
"29_34_Ford$$Transit Connect$$2015$$Silver$$29_36$$9$$image_0.jpg",0,0.41430303,-4.146698,-1.109154,1.5165113,0.95489144,0.040442854,-0.030635815,-0.46767184,0
"Abarth$$595$$2014$$Grey$$2_4$$206$$image_11.jpg",0,0.021573162,0.15921605,-0.17102672,0.39118618,0.28199586,1.7460334,0.43009475,0.49550548,0
"Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg",0,0.1165966,-0.55382514,-0.3351259,1.3826998,-1.3302835,1.3219223,0.41368288,-1.5508349,0
"Abarth$$595$$2015$$White$$2_4$$31$$image_6.jpg",0,0.43914977,-1.3425168,-0.7809271,1.2201581,-0.84389377,-0.04308489,-0.61668813,-1.184922,0
"Abarth$$595$$2016$$White$$2_4$$234$$image_0.jpg",0,-0.021728272,-1.36565,-0.15673149,0.7694425,-0.6730143,1.1022401,0.40251446,-0.91252905,0
"Abarth$$595$$2017$$White$$2_4$$13$$image_3.jpg",0,0.5512622,-1.977127,-1.0526038,1.330732,-2.3495302,0.0458204,-1.0308155,-0.6275165,0
"Abarth$$595$$2019$$Grey$$2_4$$318$$image_16.jpg",0,-0.020109743,-2.1503103,-0.15561996,0.86466783,-1.3645135,-0.6404432,0.70754886,-1.2653301,0
"Abarth$$595$$2019$$White$$2_4$$328$$image_28.jpg",0,-0.028945813,-1.1399614,-0.09492053,1.9758803,0.34590194,2.176542,-0.31970006,0.014862485,0
"Abarth$$595$$2019$$White$$2_4$$328$$image_48.jpg",0,-0.028945813,-1.1399614,-0.09492053,1.9758803,0.34590194,2.176542,-0.31970006,0.014862485,0
"Abarth$$595$$2019$$White$$2_4$$328$$image_68.jpg",0,-0.028945813,-1.1399614,-0.09492053,1.9758803,0.34590194,2.176542,-0.31970006,0.014862485,0
"Abarth$$595$$2019$$White$$2_4$$328$$image_8.jpg",0,-0.028945813,-1.1399614,-0.09492053,1.9758803,0.34590194,2.176542,-0.31970006,0.014862485,0
