"file_name","V3","V4","V8","V15"
"Audi$$A1$$2013$$Silver$$7_1$$10$$image_5.jpg",-0.12622009,-0.32501125,-0.6429048,1.0951585
"Audi$$A1$$2013$$Silver$$7_1$$156$$image_7.jpg",0.021161541,-2.1660829,-1.1518892,0.46235853
"Audi$$A1$$2013$$White$$7_1$$248$$image_0.jpg",-0.56032676,-1.6756701,-0.11150241,1.0676739
"Audi$$A1$$2013$$White$$7_1$$508$$image_0.jpg",0.008246411,-1.5200747,0.12723237,-0.010403385
"Audi$$A1$$2014$$Multicolour$$7_1$$92$$image_5.jpg",0.3336651,-2.6935554,-0.5226233,0.2602019
"Audi$$A1$$2014$$Silver$$7_1$$157$$image_15.jpg",-0.32607672,-1.432489,-0.926066,1.8080245
"Audi$$A1$$2014$$Silver$$7_1$$157$$image_5.jpg",-0.32607672,-1.432489,-0.926066,1.8080245
"Audi$$A1$$2015$$White$$7_1$$168$$image_0.jpg",-0.5278567,-2.102121,0.57398623,1.402295
"Audi$$A1$$2015$$White$$7_1$$271$$image_5.jpg",-0.9199344,-2.498515,-1.0052719,0.04551789
"Audi$$A1$$2015$$White$$7_1$$563$$image_5.jpg",0.018536843,-2.4189847,-1.0811404,2.0166376
"Audi$$A1$$2016$$White$$7_1$$882$$image_2.jpg",-0.578053,-3.042603,-1.9950424,0.5983666
"Audi$$A1$$2017$$White$$7_1$$715$$image_5.jpg",0.30327496,-1.5254198,-1.2054423,1.5638931
"Audi$$A1$$2017$$White$$7_1$$870$$image_5.jpg",-0.40462604,-3.1105602,-2.0346928,0.08298939
"Audi$$A1$$2017$$White$$7_1$$924$$image_0.jpg",-0.08089204,-2.8466392,-1.2478321,-0.48321614
"Audi$$A1$$2017$$White$$7_1$$974$$image_1.jpg",-0.7581365,-0.93209517,-0.8230336,0.23620182
"Audi$$A3 Cabriolet$$2011$$White$$7_4$$58$$image_1.jpg",0.20268099,-0.3471483,-1.33669,4.211364
"Audi$$A3 Cabriolet$$2011$$White$$7_4$$58$$image_2.jpg",0.64621973,-0.8292606,-1.8302218,3.74479
"Audi$$A3 Cabriolet$$2013$$White$$7_4$$570$$image_3.jpg",-1.0219084,-1.920656,0.27386075,2.4600549
"Audi$$A3 Cabriolet$$2014$$White$$7_4$$578$$image_2.jpg",-0.46932864,0.26340243,-1.5782028,2.5923295
"Audi$$A3 Cabriolet$$2015$$Grey$$7_4$$358$$image_2.jpg",-1.7307492,-2.8728666,2.3966272,1.2906859
"Audi$$A3 Cabriolet$$2015$$Silver$$7_4$$644$$image_5.jpg",-0.09667593,-0.4836153,-1.0005348,0.18170576
"Audi$$A3 Cabriolet$$2016$$White$$7_4$$553$$image_2.jpg",-0.7981847,-1.7615144,-0.9649136,3.6398017
"Audi$$A3$$2009$$Silver$$7_3$$824$$image_0.jpg",-1.3209583,-2.0686648,1.302045,0.9725886
"Audi$$A3$$2012$$White$$7_3$$1536$$image_0.jpg",-0.9966022,-1.8006978,-2.7541323,0.93125457
"Audi$$A3$$2013$$White$$7_3$$1347$$image_3.jpg",-1.3107171,-3.2721589,0.08710188,1.0410299
"Audi$$A3$$2013$$White$$7_3$$1602$$image_0.jpg",-1.2534474,-0.7456751,-1.4511805,0.984121
"Audi$$A3$$2013$$White$$7_3$$577$$image_12.jpg",-0.031259663,-1.8399782,-0.577515,1.3156551
"Audi$$A3$$2013$$White$$7_3$$66$$image_4.jpg",-1.2957201,-1.5547054,-0.49621972,0.3557826
"Audi$$A3$$2014$$Silver$$7_3$$1969$$image_4.jpg",-1.22124,-1.7889907,-0.34606612,-0.11871713
"Audi$$A3$$2014$$Silver$$7_3$$776$$image_2.jpg",-1.1006166,0.5406174,-1.6577576,0.83573955
"Audi$$A3$$2014$$Unlisted$$7_3$$922$$image_1.jpg",-0.49577907,-1.503293,-0.72007847,1.2098442
"Audi$$A3$$2014$$White$$7_3$$728$$image_0.jpg",-1.0651444,-3.992372,0.83061886,1.4350473
"Audi$$A3$$2015$$White$$7_3$$1294$$image_0.jpg",-1.2602971,-3.3555126,0.84134847,1.5484596
"Audi$$A3$$2015$$White$$7_3$$1352$$image_6.jpg",-1.9411966,-1.9224447,0.9766904,2.1235998
"Audi$$A3$$2016$$Grey$$7_3$$1041$$image_5.jpg",-0.30060467,0.47789103,-1.1370234,0.73771536
"Audi$$A3$$2016$$Grey$$7_3$$1871$$image_5.jpg",-0.40907893,0.1668691,-0.6157236,1.1503545
"Audi$$A3$$2016$$Silver$$7_3$$1049$$image_5.jpg",-0.49792317,-1.2912501,-1.410614,2.1427763
"Audi$$A3$$2016$$Silver$$7_3$$1423$$image_5.jpg",-0.68997896,-0.03958465,-0.42343786,1.5119584
"Audi$$A3$$2016$$Silver$$7_3$$299$$image_5.jpg",-1.429014,0.36596072,-1.3655971,1.2112054
"Audi$$A3$$2016$$Silver$$7_3$$699$$image_5.jpg",-1.4853405,0.1655712,-1.1405791,0.23216154
"Audi$$A3$$2016$$Silver$$7_3$$955$$image_5.jpg",-0.65301096,0.13728786,-0.9810833,1.4530578
"Audi$$A3$$2016$$White$$7_3$$1985$$image_0.jpg",-0.84058344,-1.486171,0.37914705,1.4250404
"Audi$$A3$$2016$$White$$7_3$$525$$image_13.jpg",-0.24036773,-0.4434859,-1.8407482,2.945808
