prices,shares,market_ids,firm_ids,clustering_ids,bodyshape,boxiness,grille_height,grille_width,hpwt,mpd,space,mpg,trend
15.018552875594441,0.000140875798661396,2008,GM,16_11,-1.2691965,1.2956405,0.708975,0.55093634,0.402121373613156,0.609242239097751,1.22133962651826,3.67142857142857,0.0
7.323888232839356,0.00045254791959852426,2008,GM,16_12,-1.9740137,-0.4656431,-0.2372705,1.2306219,0.35330100986193,0.696954156788867,0.80988136943216,4.2,0.0
12.43506493497403,0.0001614461586428558,2008,GM,16_2,-0.95178556,-0.1865257,-1.0671835,0.2928701,0.379381779001237,0.807581800723608,1.02077114397203,4.86666666666667,0.0
27.228875020974943,0.00016144615864242064,2008,GM,16_5,-0.23031981,-0.9697608,-1.4801867,-0.28552026,0.369232937828135,0.58790690776748,1.3434588878493,3.54285714285714,0.0
41.56631247540478,0.00013788374629825886,2008,AggFirm,17_1,0.43914905,1.4101392,-0.79842407,0.21168861,0.644490133057702,0.483995942214491,1.46137550103211,2.91666666666667,0.0
24.641086186489645,5.448028673847714e-05,2008,AggFirm,17_8,-2.1759183,1.669621,1.2679098,-0.86551046,0.420023274338272,0.594070447929558,1.39462082542791,3.58,0.0
24.827331759099614,0.00018164251207759905,2008,AggFirm,17_9,-0.28097114,1.2822055,-0.010866262,-0.15052179,0.326362204807562,0.501972934353886,1.48824886380198,3.025,0.0
18.56327985731425,0.0021767180925831553,2008,PSA Peugeot Citroen,18_12,0.9192852,0.24429663,1.046768,0.29734024,0.403853126220267,0.806540599368928,1.17301957985176,4.86039215686275,0.0
24.07378984643597,0.0003025712949993851,2008,PSA Peugeot Citroen,18_15,-0.54605126,1.2213879,-1.3539,1.5268171,0.412289321048154,0.659340757851055,1.44393221368461,3.97333333333333,0.0
37.14768702370263,9.848839021328408e-06,2008,PSA Peugeot Citroen,18_16,1.8017551,1.2966402,-0.85020286,-0.05305359,0.478244697991924,0.559675307724393,1.41498075813644,3.37272727272727,0.0
29.57556080278136,4.363409693010738e-05,2008,PSA Peugeot Citroen,18_17,0.27460358,1.7673897,-1.6815178,0.5059977,0.374502228922035,0.62642903378047,1.60743082338206,3.775,0.0
28.72322482706234,2.1069035374839787e-05,2008,PSA Peugeot Citroen,18_18,-2.9949245,-2.0343082,1.5815861,0.13780934,0.283408312143536,0.621095200947902,1.69816906606986,3.74285714285714,0.0
15.018641645363573,0.00037687392862971285,2008,PSA Peugeot Citroen,18_2,-2.5909743,0.665554,-0.4176619,-0.056371603,0.303314952079366,0.754596981786443,1.24349000750778,4.54736842105263,0.0
18.41983471066094,0.0006588748636484071,2008,PSA Peugeot Citroen,18_29,-0.24275646,-1.200564,-1.8600707,0.12277531,0.364690685828123,0.799837865648176,1.16053135443305,4.82,0.0
28.608815426939366,0.00011232663238298136,2008,PSA Peugeot Citroen,18_4,-1.2490876,0.124997646,1.4187746,0.053980794,0.422489395645767,0.591857895050863,1.2995588776374,3.56666666666667,0.0
9.62613144423876,0.0015561165653879589,2008,PSA Peugeot Citroen,18_6,-1.6380441,-1.0394397,-1.3787067,0.016474213,0.367661911707643,1.02330570639635,0.867855422992069,6.16666666666667,0.0
12.171480404228667,0.0003968209443694513,2008,PSA Peugeot Citroen,18_7,-0.8874471,-0.46927613,0.9764803,-1.2162902,0.368606484832914,0.848325152514208,0.942696473502278,5.11219512195122,0.0
13.378354978286353,0.0009812685055391448,2008,PSA Peugeot Citroen,18_8,0.1440411,-0.5690114,-0.47977352,0.5061944,0.373356428193475,0.851279720077831,0.994785313935748,5.13,0.0
14.318772136900863,3.2912575970231944e-05,2008,AggFirm,24_3,0.054000404,2.063191,0.85112953,0.7844333,0.458929296605471,0.779924889739923,0.786472422332674,4.7,0.0
13.536009445046883,3.565529063442729e-05,2008,AggFirm,24_6,-2.9495974,0.7294896,0.471362,0.42639905,0.443803134411849,0.630577570428023,0.995413065869222,3.8,0.0
11.768510710015976,0.0002873616954978311,2008,AggFirm,24_7,-2.1957004,1.1912217,1.786349,-0.679909,0.421786089566677,0.803630813440224,0.932206639050762,4.84285714285714,0.0
16.695100354133924,0.00011506934704743545,2008,AggFirm,24_8,-0.007349286,-0.88386333,-1.9217875,-1.1006362,0.396773415472364,0.568349520714731,1.23626365768831,3.425,0.0
19.948288075500706,4.400810347533173e-05,2008,AggFirm,26_1,-1.1396935,1.7142315,-0.47604364,0.3473812,0.427681450076793,0.640534058382149,1.38547951727271,3.86,0.0
17.652744982231596,9.861305906232179e-05,2008,AggFirm,26_2,0.46735042,-0.60633457,1.6136353,0.060311195,0.438548368492501,0.667914400255998,1.23178879390575,4.025,0.0
24.480755607976228,1.084618980834816e-05,2008,AggFirm,26_5,-1.926296,0.32547212,-0.09208502,0.61022085,0.333558262479482,0.677041180880614,1.42285230238077,4.08,0.0
25.93978748519649,0.00011033193080886581,2008,AggFirm,26_6,-1.3140182,-1.6093204,-1.2568011,0.629917,0.418124423828148,0.489527324411228,1.31872918168188,2.95,0.0
18.662473889683415,0.000411407199627936,2008,FIAT,28_10,-1.9470037,0.20257984,-0.5220223,-0.08322907,0.430311436883499,0.825239674659345,1.20437106945924,4.97307692307692,0.0
15.772210743743177,0.00022776998597584663,2008,FIAT,28_12,-2.6306543,-1.8738436,-1.1144958,1.8092834,0.329982960518242,0.763330743149712,1.13517172632547,4.6,0.0
20.38813459261597,2.431042543255839e-05,2008,FIAT,28_17,-2.8178363,0.1746941,0.86928505,0.21075875,0.388195040792424,0.692805620141314,1.18549015130607,4.175,0.0
