prices,shares,market_ids,firm_ids,clustering_ids,hpwt,mpd,space,mpg,trend
15.014850424376775,0.0001409656502132396,2008,GM,16_11,0.402121373613156,0.609242239097751,1.22133962651826,3.67142857142857,0.0
10.355972287792596,0.0003078306280268939,2008,GM,16_12,0.35330100986193,0.696954156788867,0.80988136943216,4.2,0.0
12.429497700524252,0.00016160851771502717,2008,GM,16_2,0.379381779001237,0.807581800723608,1.02077114397203,4.86666666666667,0.0
27.226303550072675,0.0001615080651928725,2008,GM,16_5,0.369232937828135,0.58790690776748,1.3434588878493,3.54285714285714,0.0
41.565644817915256,0.0001379030921288038,2008,AggFirm,17_1,0.644490133057702,0.483995942214491,1.46137550103211,2.91666666666667,0.0
24.64028904416383,5.449399750961569e-05,2008,AggFirm,17_8,0.420023274338272,0.594070447929558,1.39462082542791,3.58,0.0
24.82661801791584,0.00018168178940030825,2008,AggFirm,17_9,0.326362204807562,0.501972934353886,1.48824886380198,3.025,0.0
18.56256859525948,0.002177489012869074,2008,PSA Peugeot Citroen,18_12,0.403853126220267,0.806540599368928,1.17301957985176,4.86039215686275,0.0
24.07315801954484,0.00030264973766175904,2008,PSA Peugeot Citroen,18_15,0.412289321048154,0.659340757851055,1.44393221368461,3.97333333333333,0.0
37.14704783233426,9.850499000550792e-06,2008,PSA Peugeot Citroen,18_16,0.478244697991924,0.559675307724393,1.41498075813644,3.37272727272727,0.0
29.57491129701314,4.364367648137834e-05,2008,PSA Peugeot Citroen,18_17,0.374502228922035,0.62642903378047,1.60743082338206,3.775,0.0
28.722584289138887,2.1073713747159574e-05,2008,PSA Peugeot Citroen,18_18,0.283408312143536,0.621095200947902,1.69816906606986,3.74285714285714,0.0
15.017943220300388,0.0003770154019817038,2008,PSA Peugeot Citroen,18_2,0.303314952079366,0.754596981786443,1.24349000750778,4.54736842105263,0.0
18.419126927101445,0.000659107640018114,2008,PSA Peugeot Citroen,18_29,0.364690685828123,0.799837865648176,1.16053135443305,4.82,0.0
28.60819217327198,0.00011235064206123959,2008,PSA Peugeot Citroen,18_4,0.422489395645767,0.591857895050863,1.2995588776374,3.56666666666667,0.0
9.625336836885474,0.0015570884026788142,2008,PSA Peugeot Citroen,18_6,0.367661911707643,1.02330570639635,0.867855422992069,6.16666666666667,0.0
12.170718993106592,0.0003970043500258808,2008,PSA Peugeot Citroen,18_7,0.368606484832914,0.848325152514208,0.942696473502278,5.11219512195122,0.0
13.377587603563974,0.0009817038735482407,2008,PSA Peugeot Citroen,18_8,0.373356428193475,0.851279720077831,0.994785313935748,5.13,0.0
14.317625445231398,3.2927181676864686e-05,2008,AggFirm,24_3,0.458929296605471,0.779924889739923,0.786472422332674,4.7,0.0
13.535067176140311,3.56685144364072e-05,2008,AggFirm,24_6,0.443803134411849,0.630577570428023,0.995413065869222,3.8,0.0
11.767241979167734,0.0002875081457815551,2008,AggFirm,24_7,0.421786089566677,0.803630813440224,0.932206639050762,4.84285714285714,0.0
16.69427995143324,0.00011510413342006235,2008,AggFirm,24_8,0.396773415472364,0.568349520714731,1.23626365768831,3.425,0.0
19.947429654656872,4.4021505124664085e-05,2008,AggFirm,26_1,0.427681450076793,0.640534058382149,1.38547951727271,3.86,0.0
17.651829841994452,9.864651675339104e-05,2008,AggFirm,26_2,0.438548368492501,0.667914400255998,1.23178879390575,4.025,0.0
24.479890609984288,1.084925077039751e-05,2008,AggFirm,26_5,0.333558262479482,0.677041180880614,1.42285230238077,4.08,0.0
25.939085098977188,0.00011035465351647431,2008,AggFirm,26_6,0.418124423828148,0.489527324411228,1.31872918168188,2.95,0.0
18.661481679309496,0.0004115665501807911,2008,FIAT,28_10,0.430311436883499,0.825239674659345,1.20437106945924,4.97307692307692,0.0
15.771237115982146,0.0002278609035166845,2008,FIAT,28_12,0.329982960518242,0.763330743149712,1.13517172632547,4.6,0.0
20.387299837422795,2.431808680081455e-05,2008,FIAT,28_17,0.388195040792424,0.692805620141314,1.18549015130607,4.175,0.0
10.970955037863385,0.0007701257215451153,2008,FIAT,28_18,0.319034247306407,0.856257964054894,0.870405223470447,5.16,0.0
13.35849912156173,0.0016502801921485103,2008,FIAT,28_19,0.355979198594115,0.830333523721508,1.05424280704151,5.00377358490566,0.0
12.639823271944184,0.0015144122336746787,2008,FIAT,28_2,0.40992094441339,0.892765086553358,0.89425076428964,5.38,0.0
15.8770638957441,5.987172174431285e-06,2008,FIAT,28_21,0.274633243249237,0.974313464082396,1.05301806329244,5.87142857142857,0.0
26.3043522172238,4.613900288754969e-05,2008,FIAT,28_22,0.294929635565583,0.630577570428023,1.46219315725419,3.8,0.0
16.21519919201247,5.674401613831887e-05,2008,FIAT,28_23,0.40747097228726,0.667084692926487,1.11938632270648,4.02,0.0
14.635771666793806,0.00915825160320304,2008,Ford,29_13,0.343710481721188,0.882322916260006,1.14746601666359,5.31707317073171,0.0
21.74880231956227,0.008852376957106528,2008,Ford,29_14,0.409033258184241,0.771498174674581,1.37271282804106,4.64921875,0.0
16.081907635720576,0.0012336876330394106,2008,Ford,29_18,0.311654160677763,0.814693577833699,1.21755368291879,4.90952380952381,0.0
29.540217758091597,0.00069081277810127,2008,Ford,29_19,0.340630089146685,0.645565831864342,1.60925835651085,3.89032258064516,0.0
23.06783115213404,0.002100269388437386,2008,Ford,29_2,0.376216525622276,0.762058525244462,1.37045862767508,4.59233333333333,0.0
10.07949253819998,0.0015335577624029041,2008,Ford,29_23,0.366286309610638,0.708016921182341,1.02654878676715,4.26666666666667,0.0
